member_id,display_as,gender,party,party_simple,mp_final_relig,ass_suicide_2nd,ass_suicide_3rd,lgbt,ethnic_mp,relig_christian,relig_muslim,relig_jewish,relig_sikh,mp_swear,mp_swear_book,mp_inferred_relig,elected,majority,constituency_type,cen_claimant,cen_eth_white,cen_rel_christian,cen_rel_buddhist,cen_rel_hindu,cen_rel_jewish,cen_rel_muslim,cen_rel_sikh,cen_rel_no religion,cen_qual_none,cen_qual_grad,cen_disab_some
5214,Brian Mathew,M,Liberal Democrat,Lib Dem,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.032675,County,2.422552,0.963098,0.494608,0.003981,0.002071,0.000944,0.005011,0.00074,0.426332,0.143302,0.348157,0.179372
5215,Naushabah Khan,F,Labour,Labour,Muslim,No,TBC,No,Yes,0,1,0,0,Oath,Quran,Muslim,Elected,0.054024,Borough,4.095344,0.841493,0.456203,0.003323,0.012638,0.000665,0.029478,0.011924,0.423714,0.186929,0.252455,0.175735
5216,Caroline Voaden,F,Liberal Democrat,Lib Dem,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.098629,County,2.557227,0.972951,0.474551,0.006252,0.001036,0.001511,0.003727,0.00032,0.437634,0.154683,0.348699,0.213563
5217,Lloyd Hatton,M,Labour,Labour,None,Yes,TBC,Yes,No,0,0,0,0,Affirm,No text,None,Elected,0.013803,County,3.072729,0.968361,0.484237,0.004357,0.001432,0.001046,0.004895,0.000335,0.433708,0.168644,0.280839,0.219877
5218,David Smith,M,Labour,Labour,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Elected,0.068298,County,2.779432,0.981656,0.567056,0.0027,0.000642,0.000697,0.003788,0.001089,0.368534,0.175072,0.327335,0.209908
5219,Mike Martin,M,Liberal Democrat,Lib Dem,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.110328,County,2.767995,0.912185,0.49318,0.004155,0.010443,0.001944,0.017491,0.000721,0.405621,0.133577,0.415012,0.148926
5220,Tristan Osborne,M,Labour,Labour,Christian,Yes,TBC,Yes,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.026601,County,4.307752,0.857783,0.452656,0.00274,0.009154,0.000699,0.025252,0.01623,0.435897,0.201259,0.244885,0.172243
5221,Steve Witherden,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.051527,County,3.047974,0.980233,0.479016,0.002955,0.000777,0.00047,0.004377,0.000378,0.435361,0.206148,0.286181,0.203199
5222,Tom Rutland,M,Labour,Labour,None,Yes,TBC,Yes,No,0,0,0,0,Affirm,No text,None,Elected,0.127365,County,2.731089,0.926474,0.430633,0.004748,0.004537,0.003202,0.014314,0.000673,0.474358,0.179082,0.297785,0.185851
5223,Jim Dickson,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.015804,County,3.369775,0.733143,0.478459,0.00622,0.040068,0.000772,0.03654,0.017916,0.362621,0.161072,0.328399,0.139258
